,name,artist,duration,key,mode,beats,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,URI
581,School Spirit,Kanye West,182387,5,0,4,0.339,0.483,0.787,0.0,0.236,-5.422,0.21,0.592,84.81,53,spotify:track:1th3G3okofWlvGWAAR7Y4V
582,Through The Wire,Kanye West,221227,7,1,4,0.00865,0.571,0.739,5.21e-06,0.158,-6.11,0.247,0.66,83.089,69,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo
583,Family Business,Kanye West,278893,1,1,4,0.139,0.744,0.524,0.0,0.392,-7.452,0.21,0.606,93.691,59,spotify:track:5DBmXF7QO43Cuy9yqva116
584,Good Morning,Kanye West,195093,7,1,4,0.0791,0.48,0.631,0.000105,0.149,-5.488,0.116,0.515,84.164,68,spotify:track:5CaXxLM568tBh1PwhXdciZ
585,Champion,Kanye West,167600,6,1,4,0.00299,0.693,0.504,0.0,0.695,-8.306,0.238,0.723,102.139,64,spotify:track:2aHlRZIGUFThu3eQePm6yI
586,Stronger,Kanye West,311867,10,0,4,0.00564,0.617,0.717,0.0,0.408,-7.858,0.153,0.49,103.992,80,spotify:track:4fzsfWzRhPawzqhX8Qt9F3
587,I Wonder,Kanye West,243440,0,1,4,0.141,0.542,0.466,0.000445,0.125,-8.665,0.0831,0.124,191.385,67,spotify:track:4jQqM4NI79HEcWHUJb8Hvf
588,Good Life,Kanye West,207000,1,1,4,0.00305,0.439,0.808,0.0,0.439,-6.881,0.346,0.487,82.962,70,spotify:track:14blxrgE0VWAgv5aF2wWmx
589,Can't Tell Me Nothing,Kanye West,271600,5,0,4,0.0122,0.596,0.62,0.0,0.82,-6.133,0.039,0.102,80.029,71,spotify:track:2MIBAmYwiuGoKUlpq9B9sZ
590,Barry Bonds,Kanye West,204307,1,1,4,0.0451,0.48,0.624,0.0,0.337,-6.131,0.382,0.704,165.057,56,spotify:track:2ipNhjgsoM930FqDFl0ShM
591,Drunk and Hot Girls,Kanye West,313227,10,0,3,0.0697,0.661,0.442,1.15e-05,0.136,-7.297,0.0285,0.299,82.758,56,spotify:track:4Sw4lblE6aXpoOJma6Mlx5
592,Flashing Lights,Kanye West,237507,6,0,4,0.0381,0.639,0.628,0.0,0.386,-7.578,0.0399,0.43,90.482,72,spotify:track:31I3Rt1bPa2LrE74DdNizO
593,Everything I Am,Kanye West,227893,8,1,4,0.463,0.631,0.623,1.7e-06,0.151,-6.969,0.265,0.765,80.23,63,spotify:track:2T8bL4YC49Ska1yl74qcS0
594,The Glory,Kanye West,212707,6,1,4,0.0455,0.423,0.643,0.0,0.172,-7.261,0.287,0.708,84.336,58,spotify:track:795LIYKphBOsvyMh5hZaPk
595,Homecoming,Kanye West,203493,1,1,4,0.337,0.667,0.747,0.0,0.115,-7.059,0.189,0.918,86.917,70,spotify:track:2ovQ5MCx91XVjgVWEPfvks
596,Big Brother,Kanye West,287573,11,0,4,0.214,0.498,0.742,0.0,0.0641,-6.248,0.259,0.302,78.428,56,spotify:track:1x6jHJGczTBitBy06hIWgx
597,Selah,Kanye West,164620,9,0,3,0.647,0.482,0.618,0.000859,0.32,-5.673,0.197,0.146,90.076,76,spotify:track:39JRmdKFka1Oe09FoOCPI4
