,name,artist,duration,key,mode,beats,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,URI
45,Use the Force - Remastered,Jamiroquai,240560,5,0,4,0.0384,0.672,0.926,0.696,0.111,-8.674,0.0406,0.507,123.309,4,spotify:track:2TJWNkB48P8pJoASRI04QN
46,Everyday - Remastered,Jamiroquai,268467,11,0,4,0.342,0.703,0.411,0.565,0.0895,-13.881,0.0346,0.763,136.139,6,spotify:track:0S8szpYAYYZJGHAzLPF7kZ
47,Alright - Remastered,Jamiroquai,263920,7,0,4,0.174,0.815,0.875,0.048,0.136,-7.822,0.0598,0.733,105.805,12,spotify:track:0cL0AarTZtfSt5Tc3a2ZDN
48,High Times - Remastered,Jamiroquai,360013,11,0,4,0.0316,0.629,0.931,0.0258,0.324,-6.592,0.049,0.844,113.249,9,spotify:track:4LGZzACsdcdtx9FxIukGsS
49,Drifting Along - Remastered,Jamiroquai,245787,4,1,4,0.0467,0.777,0.545,0.73,0.0611,-7.591,0.0483,0.77,96.17,8,spotify:track:0hvRqustByLdT678cyhS2X
50,Didjerama - Remastered,Jamiroquai,230747,0,1,4,0.135,0.248,0.295,0.831,0.903,-18.166,0.0434,0.0571,90.398,2,spotify:track:6ERMMVkrVUjF2MrT9CttPK
51,Didjital Vibrations - Remastered,Jamiroquai,349813,0,1,4,0.327,0.715,0.465,0.828,0.088,-12.884,0.0428,0.867,80.244,2,spotify:track:4XYKKgslSNm7bHz3sgW6mb
52,Travelling Without Moving - Remastered,Jamiroquai,220080,1,0,4,0.0179,0.67,0.96,0.64,0.122,-9.371,0.0596,0.605,126.312,11,spotify:track:2BCkSCoBOgHKP75S0gbatn
53,You Are My Love - Remastered,Jamiroquai,235760,5,0,4,0.0958,0.576,0.965,0.125,0.362,-6.494,0.071,0.901,119.4,2,spotify:track:6HcdpUEIjMQq4Z9dF93uVD
54,Canned Heat,Jamiroquai,331733,5,1,4,0.0131,0.701,0.861,0.000209,0.0751,-5.821,0.118,0.778,128.033,10,spotify:track:2u5woInaGB7YASEd1CwGBJ
55,Little L,Jamiroquai,295400,10,0,4,0.168,0.878,0.724,0.0116,0.133,-5.373,0.129,0.904,121.906,14,spotify:track:5sS4g0adkAUXvLJHQ1i2kj
56,You Give Me Something,Jamiroquai,199600,7,1,4,0.0265,0.639,0.69,0.000551,0.146,-10.047,0.264,0.579,119.63,9,spotify:track:2oX46s90nkZtTbCowHiWVs
57,Love Foolosophy - Radio Edit,Jamiroquai,224493,11,0,4,0.0119,0.799,0.69,2.87e-05,0.133,-4.998,0.0749,0.896,129.297,9,spotify:track:0a0KZCfAVPiPs09O6cv4Eo
58,Seven Days in Sunny June,Jamiroquai,237867,7,1,4,0.2,0.707,0.797,0.0,0.302,-7.143,0.0435,0.633,105.395,11,spotify:track:04hWLKwZKdwl1mZHafiphV
59,"Shiki no Uta (From ""Samurai Champloo"")",Sapphire,289350,10,0,4,0.133,0.6,0.726,4.54e-06,0.364,-9.666,0.0373,0.616,92.511,45,spotify:track:79q8efcsFXhh3iEcA7ilTv
60,Show You the Way,Thundercat,214554,0,1,4,0.153,0.679,0.513,0.082,0.102,-10.326,0.0764,0.622,75.969,48,spotify:track:3KQvcYqWgMnG6MCg1aeXif
61,Friend Zone,Thundercat,192511,1,1,4,0.258,0.589,0.83,0.00292,0.114,-4.961,0.0352,0.239,106.995,47,spotify:track:2UAMy9T8jWOjRVlQvHOmsn
62,A Fan's Mail (Tron Song Suite II),Thundercat,158938,2,0,4,0.826,0.491,0.656,0.475,0.113,-13.349,0.0919,0.351,191.481,42,spotify:track:6eKndb3FYEqXBBPhK0WuAv
63,Oh Sheit It's X,Thundercat,227086,1,0,3,0.000345,0.632,0.681,0.0194,0.142,-8.052,0.0459,0.535,122.979,43,spotify:track:2F4p40wU0x3rR3qvWu746n
64,Jameel's Space Ride,Thundercat,69234,1,1,4,0.799,0.85,0.629,0.0267,0.0895,-9.676,0.0441,0.861,140.091,33,spotify:track:3K0GqAWl4JiOAFNzYRoJ1h
65,Drink Dat,Thundercat,215163,4,0,4,0.157,0.705,0.477,0.0,0.307,-7.361,0.0598,0.197,76.971,39,spotify:track:61Dpc8Dw5FjzJWI3e5Zwha
66,The Space Program,A Tribe Called Quest,341040,1,1,4,0.427,0.612,0.705,0.0,0.658,-5.898,0.352,0.533,101.876,51,spotify:track:203xmWRHAyqwW6AkGkhhVM
67,We The People....,A Tribe Called Quest,172013,1,1,4,0.00909,0.71,0.805,0.0,0.141,-5.471,0.0637,0.897,92.601,57,spotify:track:3wUX7HpXS382s1DHTRouVk
68,Whateva Will Be,A Tribe Called Quest,172760,5,0,4,0.253,0.795,0.604,1.13e-05,0.641,-6.124,0.331,0.71,92.517,50,spotify:track:3z40poMPmOkS6799tbXGKz
69,Solid Wall of Sound,A Tribe Called Quest,223347,9,0,4,0.311,0.67,0.684,0.000274,0.181,-6.053,0.401,0.473,146.054,48,spotify:track:5OzOQRssjhxaBj0xd78Z2w
70,Dis Generation,A Tribe Called Quest,213373,2,1,4,0.0674,0.739,0.79,0.0,0.352,-5.307,0.103,0.652,96.055,50,spotify:track:2Pp3QD3thPnk2kCxmu2MHK
71,Kids...,A Tribe Called Quest,228480,1,1,4,0.0206,0.837,0.521,0.000591,0.327,-6.215,0.196,0.793,94.995,44,spotify:track:3awU4bBZTmisGbeJJ4xb3c
72,Melatonin,A Tribe Called Quest,284693,1,1,4,0.291,0.693,0.494,0.055,0.101,-8.801,0.143,0.418,94.254,47,spotify:track:366xKgsZ8bFjIhG7JjfCkj
73,Enough!!,A Tribe Called Quest,200693,2,1,4,0.251,0.676,0.57,0.000663,0.295,-7.23,0.0652,0.236,77.381,48,spotify:track:1WvGWCDuj0dfRpuBuYecXp
74,Mobius,A Tribe Called Quest,171707,7,1,4,0.155,0.751,0.754,0.00479,0.111,-4.741,0.274,0.383,92.207,43,spotify:track:0Zo2Sc9OLyAql82M85GI4J
75,Black Spasmodic,A Tribe Called Quest,183587,1,1,4,0.0851,0.879,0.575,9.62e-06,0.55,-6.175,0.281,0.588,95.008,44,spotify:track:1qju0WsEHiDZoOBBDp8aAk
76,The Killing Season,A Tribe Called Quest,163933,1,1,4,0.184,0.648,0.756,9.63e-05,0.177,-6.166,0.229,0.638,89.304,41,spotify:track:0ztZ65BrWKvcPuQPR6LTZw
77,Lost Somebody,A Tribe Called Quest,259027,10,0,4,0.337,0.51,0.752,3.64e-05,0.0974,-7.812,0.396,0.333,183.448,41,spotify:track:2J8MwNEqmnhwbVQoqG7tnh
78,Movin Backwards,A Tribe Called Quest,281613,0,1,4,0.321,0.608,0.58,2.38e-05,0.0804,-6.504,0.314,0.714,88.937,43,spotify:track:4Ek1h5KnIkB6Pi2Bt1lV8m
79,Conrad Tokyo,A Tribe Called Quest,211987,1,1,4,0.602,0.675,0.608,0.0387,0.103,-7.233,0.0836,0.24,95.245,46,spotify:track:3MDcFMG1AYBPcRpYOdwDYl
80,Ego,A Tribe Called Quest,197440,11,1,4,0.225,0.629,0.704,0.0,0.11,-5.52,0.277,0.629,177.92,42,spotify:track:51Ru43YjHNP2uLcPoswSu4
81,The Donald,A Tribe Called Quest,322234,1,1,4,0.606,0.74,0.6,0.000752,0.137,-8.443,0.319,0.637,96.542,41,spotify:track:0BXZq7Np5y2kWNyH6zbrAc
82,GLOWED UP,KAYTRANADA,298027,1,1,4,0.036,0.681,0.621,0.00555,0.138,-10.024,0.34,0.428,135.538,64,spotify:track:33pDmPx2pkJ7JCAQpRDQ9B
83,Bubblin,Anderson .Paak,209093,1,1,5,0.0731,0.568,0.873,0.0,0.367,-5.22,0.265,0.547,106.783,65,spotify:track:6BvtitRX5lQC87YlA6rq0n
84,Come Down,Anderson .Paak,169727,8,1,4,0.271,0.841,0.898,0.0151,0.304,-7.135,0.104,0.931,98.401,67,spotify:track:276zciJ7Fg7Jk6Ta6QuLkp
85,Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,253520,11,0,4,0.0588,0.729,0.799,0.00218,0.0948,-7.378,0.0779,0.532,115.04,60,spotify:track:1UjyF6okUHhnVxaLV8ojsA
86,Heart Don't Stand a Chance,Anderson .Paak,312360,7,1,4,0.173,0.685,0.545,1.44e-05,0.237,-6.189,0.061,0.506,94.061,59,spotify:track:25GlFJq5QNAXyVgJvCZ4Mf
87,The Bird,Anderson .Paak,217773,11,1,4,0.0838,0.488,0.645,0.000355,0.154,-7.226,0.421,0.595,148.733,59,spotify:track:7pamxApUs3CE8t7tKmUJ6Z
88,Parking Lot,Anderson .Paak,234333,9,1,4,0.0128,0.639,0.907,0.328,0.704,-7.85,0.0409,0.696,97.019,55,spotify:track:5zyySSTcBpXQ8gSbuONRH7
89,The Waters (feat. BJ the Chicago Kid),Anderson .Paak,174253,10,0,4,0.128,0.671,0.678,0.0,0.298,-6.171,0.362,0.718,91.456,56,spotify:track:23T4gelZgImtFxbHjXnYbm
90,The Season | Carry Me,Anderson .Paak,328813,1,1,4,0.0998,0.387,0.726,0.0,0.653,-7.681,0.412,0.632,78.846,54,spotify:track:5G0nSEIT0fGUZY0caM9AnH
91,Put Me Thru,Anderson .Paak,160760,5,0,4,0.0459,0.732,0.789,3.11e-05,0.123,-3.717,0.0476,0.607,107.978,56,spotify:track:70SjyVMzhmMeJQD8hOmIBp
92,Without You (feat. Rapsody),Anderson .Paak,199347,7,0,4,0.019,0.626,0.916,0.0,0.386,-8.39,0.44,0.804,83.322,52,spotify:track:2UYPFtrIIaIQdxLCaFwjFu
93,Lite Weight (feat. The Free Nationals United Fellowship Choir),Anderson .Paak,206360,8,0,4,0.0114,0.655,0.855,0.000199,0.476,-9.347,0.257,0.508,120.014,53,spotify:track:2vJIsdYIthbnWgLaLD9yrj
94,Room in Here (feat. The Game & Sonyae Elise),Anderson .Paak,239173,6,0,4,0.269,0.643,0.894,4.73e-06,0.257,-4.765,0.374,0.459,86.985,53,spotify:track:6Lr9sGM6kARYVDL2dj0lqV
95,Water Fall (Interluuube),Anderson .Paak,118053,5,0,4,0.458,0.491,0.494,0.0314,0.114,-9.585,0.129,0.374,118.242,46,spotify:track:3qUNcMXZBO5vvhSHLhBpJ9
96,Your Prime,Anderson .Paak,237107,8,1,4,0.215,0.601,0.641,0.013,0.172,-5.202,0.157,0.556,160.926,47,spotify:track:1GJr5BQIOvzFEoQlrufunl
97,Silicon Valley,Anderson .Paak,244840,3,0,4,0.302,0.545,0.451,0.0,0.382,-9.166,0.194,0.502,115.21,52,spotify:track:6zyXhzPJg7dCGuC5ToIxqN
98,Celebrate,Anderson .Paak,226187,0,1,4,0.0484,0.703,0.759,0.0031,0.664,-6.554,0.149,0.863,94.009,53,spotify:track:1zlclNkERGFrCxznXOgkD3
99,The Dreamer (feat. Talib Kweli & Timan Family Choir),Anderson .Paak,339973,9,1,4,0.324,0.52,0.778,0.0,0.896,-4.161,0.26,0.388,164.677,55,spotify:track:2sNhYJ2ggd9BadlTXU3Mah
100,Waves,Anderson .Paak,26567,7,1,4,0.142,0.414,0.703,0.916,0.154,-17.318,0.623,0.334,160.182,2,spotify:track:6JAYq3dovPOHER8tmkVbVo
101,Milk N' Honey,Anderson .Paak,258273,7,1,4,0.0227,0.623,0.746,0.0,0.144,-5.174,0.317,0.507,78.776,48,spotify:track:72TpOdSgTcuE8IJ0xXz8T6
102,The City,Anderson .Paak,214230,0,1,4,0.442,0.672,0.732,0.0,0.441,-5.96,0.246,0.506,94.016,40,spotify:track:35nTgQscqJHPc96HoRxfgt
103,Might Be,Anderson .Paak,237166,2,1,4,0.357,0.684,0.585,1.23e-06,0.728,-7.601,0.0712,0.335,148.507,55,spotify:track:2WlOO5UM3eoEQt7Z2z3PU1
104,Miss Right,Anderson .Paak,198713,10,0,4,0.00344,0.819,0.521,0.366,0.204,-7.328,0.216,0.715,96.419,50,spotify:track:3xc7EvYaIA0El81QVSwdhg
105,Put You On,Anderson .Paak,163736,2,0,4,0.374,0.597,0.884,1.05e-05,0.0953,-5.566,0.0519,0.446,156.96,40,spotify:track:0I6v5Ky26n9Lwm3usd3L1x
106,Already,Anderson .Paak,194011,6,0,4,0.0716,0.506,0.671,0.00865,0.765,-5.802,0.306,0.482,75.014,50,spotify:track:0YOTE8vEGduSABT8QE55rK
107,Dogtown,Anderson .Paak,26802,4,0,4,0.679,0.59,0.927,0.0053,0.199,-16.216,0.538,0.0312,53.354,0,spotify:track:22mF9GxC4pPs7HY0toyHYy
108,I Miss That Whip,Anderson .Paak,188839,8,1,4,0.128,0.567,0.563,0.000368,0.0986,-6.122,0.0837,0.42,94.364,41,spotify:track:1x0WbCpdSPdwVoTCdJ4pPZ
109,Get 'Em Up,Anderson .Paak,248660,9,0,4,0.189,0.677,0.567,0.000694,0.637,-7.108,0.0349,0.508,140.041,42,spotify:track:6kk47BIRgA2MrQSVtZynwU
110,Paint,Anderson .Paak,237923,0,1,4,0.225,0.713,0.935,2.6e-05,0.0786,-5.778,0.0498,0.812,124.025,39,spotify:track:5YGUD6GFP7ZLGH0nQAKm6c
111,Drugs,Anderson .Paak,292989,6,0,3,0.000663,0.543,0.813,0.0,0.308,-6.194,0.0485,0.328,174.07,41,spotify:track:4wzscvBb9JkSfiet1A8UQu
112,Miki Doralude,Anderson .Paak,50129,2,1,3,0.948,0.492,0.786,0.000116,0.289,-13.017,0.501,0.841,82.837,32,spotify:track:3pq4YwDsDJvQI73SjpVOwp
113,Luh You,Anderson .Paak,210720,7,1,4,0.0954,0.697,0.719,1.93e-06,0.0819,-5.805,0.353,0.662,117.051,50,spotify:track:6jjQHv8A394Dz1HjYrr2jv
114,Right There,Anderson .Paak,207334,7,0,3,0.306,0.478,0.823,1.12e-05,0.101,-6.088,0.598,0.428,93.902,38,spotify:track:1Qf3QEcbX0niXh7FMadGCa
115,Off The Ground,Anderson .Paak,288052,7,0,3,0.812,0.652,0.712,0.000106,0.149,-7.191,0.174,0.547,183.077,51,spotify:track:2HsadrpAUp28eDIOhR2hPC
116,Intro,NxWorries,48427,9,1,4,0.0732,0.723,0.845,2.62e-06,0.681,-9.682,0.186,0.736,129.883,39,spotify:track:1rUyfY9niQjVODEqq2KkY1
117,Livvin,NxWorries,165627,0,1,3,0.565,0.353,0.748,7.86e-06,0.551,-5.984,0.246,0.287,137.856,44,spotify:track:3iVp14VoAsAZkIdgQoRRAb
118,Wngs,NxWorries,96600,2,1,4,0.329,0.646,0.843,1.97e-05,0.194,-7.246,0.114,0.729,77.084,46,spotify:track:7LkktUSWNxyR7YGVqQKjXt
119,Best One,NxWorries,194787,6,1,4,0.169,0.515,0.866,5.47e-06,0.351,-5.792,0.264,0.533,83.328,45,spotify:track:3FQCunuHk5y4T1FLnlH3Fb
120,What More Can I Say,NxWorries,156133,9,0,4,0.147,0.455,0.524,0.0,0.161,-5.691,0.147,0.584,74.885,56,spotify:track:18YB1U2346cnPCBAbmga8h
121,Kutless,NxWorries,127760,10,1,4,0.0527,0.593,0.603,0.0604,0.416,-7.83,0.0534,0.225,71.531,43,spotify:track:42w2krVjv84O8clFzoIR91
122,Lyk Dis,NxWorries,150760,1,0,4,0.0338,0.703,0.493,0.0,0.449,-6.217,0.278,0.579,85.039,55,spotify:track:322vI2bPcLJeDxltXD9hzD
123,Can’t Stop,NxWorries,121133,6,0,4,0.367,0.407,0.625,0.00196,0.237,-10.263,0.57,0.565,83.241,42,spotify:track:6Hdl8ayWoNbXA3Coxban9W
124,Get Bigger / Do U Luv,NxWorries,243973,10,0,4,0.242,0.517,0.774,2.56e-05,0.225,-6.925,0.323,0.817,77.874,51,spotify:track:39IFzRUWJACL8YZ8t58bOc
125,Khadijah,NxWorries,122373,1,1,4,0.0669,0.759,0.722,0.00231,0.207,-7.158,0.154,0.842,81.5,42,spotify:track:3qZsNN4H8OLeJVshChLza7
126,H.A.N.,NxWorries,169560,8,0,4,0.313,0.496,0.605,0.0188,0.127,-11.766,0.46,0.163,81.303,41,spotify:track:0JfwGayqIdRQAjRwkXPsYj
127,Scared Money,NxWorries,177147,5,1,3,0.473,0.543,0.837,0.0,0.209,-7.415,0.0939,0.893,170.265,54,spotify:track:10domQBk5oAdI8thuGJqUJ
128,Suede,NxWorries,174867,10,1,4,0.459,0.669,0.735,0.0,0.103,-7.264,0.329,0.723,117.284,63,spotify:track:4F07ku5lMBIoybFPStM2j4
129,Starlite,NxWorries,203947,5,1,4,0.364,0.418,0.787,0.0,0.106,-7.528,0.295,0.736,141.693,43,spotify:track:0AnLCkvhn3HUYkws8rgklp
130,Sidepiece,NxWorries,226227,8,0,4,0.656,0.446,0.588,1.94e-06,0.243,-9.464,0.242,0.594,77.177,42,spotify:track:5jq3Lzz8Y4ROTFlOyMQYdW
131,Jodi,NxWorries,69067,7,1,3,0.282,0.582,0.425,0.000353,0.254,-10.294,0.122,0.878,84.41,39,spotify:track:0O2mZ4oJRUa62XlnI66y7e
132,Link Up,NxWorries,211093,1,1,4,0.0871,0.656,0.814,0.000375,0.173,-7.229,0.269,0.526,100.086,50,spotify:track:0EbwUhWO0HinKzqxTOykCy
133,Another Time,NxWorries,147573,2,0,3,0.116,0.531,0.67,0.0,0.378,-6.889,0.0741,0.808,87.729,45,spotify:track:2HSOplZKcSsrO4Wof9yWSp
134,Fkku,NxWorries,131893,3,1,4,0.757,0.617,0.495,0.0118,0.139,-8.63,0.213,0.676,144.887,41,spotify:track:23XmBijMpljQqee05QvmTt
135,No Data,Daye Jack,189133,1,1,4,0.00109,0.804,0.698,0.00581,0.179,-4.498,0.173,0.863,97.51,11,spotify:track:0CpbziZBHjYVKw5bL8ZxrM
136,Deep End - Jayvon Remix,Daye Jack,225293,11,0,4,0.0164,0.807,0.802,0.000405,0.0996,-3.386,0.0369,0.528,95.978,8,spotify:track:6aQoWkvontLhZQYvXOhuEX
137,Supernatural (feat. Donmonique),Daye Jack,154745,0,1,4,0.0973,0.869,0.674,0.0,0.171,-7.821,0.0906,0.511,113.926,6,spotify:track:0Xt9MyKe4aAgczmnWuNPeQ
138,Finish Line,Daye Jack,239336,10,0,4,0.0314,0.95,0.533,0.000313,0.11,-6.068,0.0419,0.923,109.011,18,spotify:track:5foMOA53kTfdZBfExALS3t
139,Data Love Interlude,Daye Jack,140187,8,0,4,0.0479,0.577,0.861,0.000658,0.294,-4.269,0.0353,0.374,86.008,6,spotify:track:5J4VwO7ax8SFqjSSCtW6s7
